frame,track_id,cx,cy,speed,acceleration
44,1,1837.795,523.39,18.98171291006133,3.8115374001997058
50,1,1761.35,523.0649999999999,20.21889771970788,4.903857726289816
55,1,1700.3899999999999,524.235,18.29953346399858,8.409407074513044
56,1,1679.135,526.785,21.407417522905344,3.107884058906766
60,1,1626.4550000000002,524.02,16.120003101736565,3.325952726660006
61,1,1609.515,526.795,17.16578646610757,1.0457833643710046
62,1,1589.7450000000001,527.965,19.804590376980773,2.6388039108732038
67,1,1521.83,529.85,18.06258633197367,2.2552612894498694
69,1,1486.555,535.635,19.858714082236023,3.8683068016194326
72,1,1448.45,531.595,16.327150700596732,5.82123688979468
73,1,1430.32,534.68,18.390598821136944,2.0634481205402118
74,1,1410.515,536.565,19.894503009625396,1.5039041884884519
75,1,1390.0049999999999,536.4,20.510663689895775,0.6161606802703794
78,1,1352.2549999999999,537.3,17.323713516449125,7.338261598784134
80,1,1313.54,542.095,24.572160059709926,9.942105377652325
81,1,1294.39,544.365,19.28407114693354,-5.288088912776384
85,1,1241.105,544.115,16.20588241966456,1.9799729584031542
86,1,1217.725,544.16,23.380043306204655,7.174160886540093
87,1,1198.0900000000001,546.065,19.727195695282973,-3.6528476109216825
93,1,1121.88,542.2099999999999,18.47800922718668,3.6719015347509583
104,1,990.61,543.98,16.066014596034737,3.9630882969944974
78,2,1682.655,358.765,16.926458578214127,11.976094955206172
102,2,1480.1399999999999,392.21500000000003,16.484310722623636,6.561382727319055
319,2,1042.455,614.8,16.295479434493327,2.1142065720172027
327,2,1121.69,604.435,16.185580774257133,6.73357437349757
330,2,1152.9050000000002,597.05,16.7168874196127,8.96285620997729
350,2,1356.52,559.975,17.38642933439758,4.454139320637394
362,2,1473.2649999999999,521.84,17.00614080266302,7.134433756766716
381,2,1638.065,484.11,19.240031834693006,8.559769665626249
445,4,1875.14,323.41499999999996,24.185195885086348,22.203769631096467
471,4,2013.7549999999999,289.185,52.69189809638659,45.64992039122443
362,5,696.69,562.02,17.85362988302381,9.84778045900884
147,6,2791.9150000000004,622.36,16.130251082980354,8.440046274264144
156,6,2712.8,629.605,16.320006893380608,14.594318624891702
168,6,2616.205,631.415,27.598471877986725,23.298843987110523
178,6,2536.9750000000004,635.3399999999999,25.346184130948917,17.536081698842207
78,7,1690.6399999999999,364.70500000000004,88.24000509972805,81.29475492424835
362,8,1161.9299999999998,406.38,25.38542938380192,16.38457942393714
